Customer ID,recency,frequency,average_order_value,CLTV_predicted
18102,0,1040,514.2691538,534839.92
14646,1,3849,132.7639997,511008.635
14156,9,4038,73.98580362,298754.675
14911,1,11077,25.08824591,277902.5
13694,3,1519,126.1505365,191622.665
17450,8,420,425.0616905,178525.91
17511,2,1868,92.08907923,172022.4
12415,24,926,152.0857991,140831.45
16684,4,718,195.8793036,140641.34
15061,3,898,137.3230401,123316.09
15311,0,4306,26.67454134,114860.575
13089,2,3315,34.21052187,113407.88
16029,38,370,251.8259189,93175.59
14298,8,2864,31.66343226,90684.07
17949,1,156,534.3876603,83364.475
15769,7,223,368.469417,82168.68
13798,1,721,104.5772607,75400.205
12931,21,218,335.9894266,73245.695
17841,1,12435,5.503087254,68430.89
14088,10,682,93.5155132,63777.58
16422,17,698,84.65165473,59086.855
17389,0,429,133.3690676,57215.33
13081,11,2280,24.92901754,56838.16
14680,25,1274,43.71153846,55688.5
13093,275,1037,52.21239151,54144.25
14096,4,5111,10.52229309,53779.44
17850,372,2499,20.4917447,51208.87
16013,3,216,235.0198611,50764.29
13408,1,826,60.74428814,50174.782
12748,0,6585,7.550929385,49722.87
13777,0,356,138.1061096,49165.775
16754,372,140,327.4371071,45841.195
13881,3,457,98.7069256,45109.065
17404,4,292,150.9284589,44071.11
16705,0,691,62.90201302,43465.291
15838,11,206,202.1664806,41646.295
12471,2,1135,34.80874009,39507.92
14031,7,750,52.02601333,39019.51
15039,9,2695,14.448,38937.36
17675,1,1116,33.53442652,37424.42
12921,9,1499,23.50449633,35233.24
17677,1,685,51.18023358,35058.46
13767,2,764,44.37640052,33903.57
16779,2,1040,31.54714423,32809.03
15856,4,1102,29.28852087,32275.95
12678,42,376,85.80269947,32261.815
17428,0,720,43.56511111,31366.88
14258,9,300,103.2951,30988.53
17381,8,163,185.6703374,30264.265
12709,15,490,61.35726531,30065.06
14606,1,6359,4.694016355,29849.25
12681,14,1424,20.9513764,29834.76
13078,3,791,36.68528445,29018.06
13098,1,572,50.49377622,28882.44
16210,1,256,111.0031445,28416.805
14527,2,2639,10.2935809,27164.76
17865,30,1010,26.05167327,26312.19
13802,138,448,58.61408482,26259.11
15513,33,547,47.15332724,25792.87
12731,23,393,65.58704835,25775.71
14062,9,340,74.91397059,25470.75
12939,64,86,290.2656977,24962.85
15498,2,941,26.44722635,24886.84
14895,7,900,27.62386667,24861.48
12621,1,756,31.93148148,24140.2
16525,2,353,68.13226629,24050.69
13001,4,1015,23.6873399,24042.65
17920,4,1640,14.37913415,23581.78
15640,4,748,31.40950535,23494.31
12409,78,264,88.70943182,23419.29
12682,3,989,23.20548028,22950.22
17857,4,56,406.4823214,22763.01
16133,3,544,41.42992647,22537.88
14607,15,203,110.3747291,22406.07
12540,19,771,28.86444877,22254.49
14051,0,318,68.46220126,21770.98
15159,1,810,26.86974074,21764.49
16839,8,350,62.16642857,21758.25
12482,576,204,105.6259314,21547.69
12753,22,197,108.7786294,21429.39
15615,10,901,23.72249723,21373.97
13319,5,923,23.10208017,21323.22
18251,87,108,193.6823148,20917.69
14866,10,136,152.5480882,20746.54
14667,10,1270,16.04985827,20383.32
15251,9,230,88.36756522,20324.54
12477,22,564,35.95101064,20276.37
17706,4,737,27.45335142,20233.12
17243,1,1073,18.82905871,20203.58
13340,45,215,93.65804651,20136.48
17340,29,678,28.93058997,19614.94
16843,42,596,32.82786913,19565.41
17139,15,808,23.94508663,19347.63
14194,4,952,19.61196429,18670.59
13113,0,377,48.35562334,18230.07
12557,16,53,340.9263208,18069.095
16746,4,983,18.35885046,18046.75
17377,23,1712,10.30623248,17644.27
17581,0,811,21.74482121,17635.05
14952,59,307,57.42459283,17629.35
16652,58,275,63.8196,17550.39
15189,1,241,72.51585062,17476.32
12357,33,296,59.03581081,17474.6
16019,46,403,43.00039702,17329.16
15078,7,771,22.42118029,17286.73
18172,14,475,36.22985263,17209.18
15523,84,212,81.09033019,17191.15
15808,306,772,22.25420984,17180.25
17416,29,597,28.68241206,17123.4
15125,25,240,70.75775,16981.86
12433,0,559,30.04318426,16794.14
12647,22,515,32.43201942,16702.49
17735,2,874,19.01517162,16619.26
16553,163,292,56.43856164,16480.06
14961,10,670,24.49276119,16410.15
15358,4,1089,15.05766758,16397.8
13225,3,125,130.08056,16260.07
16180,100,327,49.69379205,16249.87
12472,32,841,19.3213912,16249.29
12980,157,52,312.4188462,16245.78
17107,33,670,23.95928358,16052.72
16656,22,141,113.273227,15971.525
17716,22,601,26.55069884,15956.97
13564,144,1200,13.27429167,15929.15
